Source,Target,Weight
0,105,0.07540681140181205
0,127,0.06846807192331239
0,110,0.06171662039328829
0,68,0.05064077938696543
0,181,0.019485372462469397
1,167,0.17212768982032323
1,151,0.1530125216119208
1,192,0.14948064639000358
1,50,0.13540670382698028
1,136,0.12146201201729812
1,90,0.10474961492754598
1,52,0.10454830389766512
1,174,0.09726713609229964
1,194,0.09511839691462909
1,13,0.09054484190386414
1,188,0.09031287771776708
1,41,0.08943231220225445
1,91,0.08152596041665583
1,39,0.07751728996741647
1,175,0.06814178547490335
1,164,0.0669877483938206
1,177,0.06306470114705953
1,55,0.05683394964866828
1,92,0.054306019890776214
1,47,0.04888877381173329
1,49,0.04866991250350439
1,57,0.04764089705209218
1,64,0.04759258857945414
1,7,0.04725170531270184
1,144,0.03931068074665145
1,111,0.037027763887927057
1,53,0.03608990837090442
1,59,0.035809890974799474
1,31,0.034884587785325105
1,15,0.0348839518629831
1,74,0.03410648420705986
1,5,0.03399831790329999
1,112,0.03369569955769802
1,156,0.03162442893813444
1,176,0.03121189956738002
1,171,0.03096303143017287
1,169,0.030692551657304112
1,87,0.02826506293220088
1,166,0.02590381787544571
1,184,0.02317749163670202
1,120,0.02183572308235049
1,115,0.02125226818042003
1,183,0.017172702963007658
1,17,0.013982637406991016
1,9,0.01352648667057288
2,69,0.1882349547389255
2,82,0.09366959612710901
2,134,0.09317757185885922
2,185,0.07558917889914996
2,105,0.07202298244360295
2,169,0.0718261272332984
2,84,0.06147810246837759
2,171,0.060917522853606076
2,181,0.05998701404483153
2,106,0.059583441009086635
2,118,0.05948747789612985
2,139,0.05905346620472318
2,175,0.05448143633924041
2,111,0.053065200942931434
2,81,0.04875895620007453
2,70,0.04687745673444099
2,116,0.04607339961916368
2,193,0.04554345847588015
2,27,0.043082472687215434
2,14,0.04225299952117323
2,46,0.0416217193254933
2,121,0.035384925784632815
2,22,0.034273450667992145
2,178,0.030344967351164764
2,159,0.029388466424327797
2,90,0.02867678465518042
2,21,0.028332039956995736
2,88,0.02693215050168607
2,49,0.026502684657793152
2,141,0.02626159413775886
2,93,0.025547929792966717
2,195,0.024661877254290143
