,gloss,x
אלהים.n1,god(s),-55.87
יד.n1,hand,-39.09
שׁם.n1,name,-10.19
ארץ.n1,earth,-5.34
שׁנה.n1,year,-5.31
מצוה.n1,commandment,-3.79
יום.n1,day,-3.66
מלאך.n1,messenger,-3.54
בית.n1,house,-3.51
דרך.n1,way,-3.32
חסד.n1,loyalty,-2.96
פנה.n1,face,-2.68
עין.n1,eye,-2.51
ברית.n1,covenant,-2.38
מזבח.n1,altar,-2.25
לחם.n1,bread,-2.02
חקה.n1,regulation,-1.95
עיר.n1,town,-1.92
חק.n1,portion,-1.84
צדקה.n1,justice,-1.8
רחב.n2,breadth,-1.76
מלאכה.n1,work,-1.72
זהב.n1,gold,-1.71
ארך.n2,length,-1.66
עלה.n1,burnt-offering,-1.56
מים.n1,water,-1.52
פה.n1,mouth,-1.48
כף.n1,palm,-1.48
לב.n1,heart,-1.46
שׁמים.n1,heavens,-1.46
כסף.n1,silver,-1.44
עץ.n1,tree,-1.38
דם.n1,blood,-1.32
